disasterNumber,totalAmountIhpApproved,totalObligatedAmountPa,totalObligatedAmountHmgp
2732,,,0.0
2733,,,0.0
2734,,,0.0
2735,,,0.0
2736,,,0.0
2737,,,0.0
2738,,,0.0
2739,,,0.0
5345,,1016846.58,0.0
3389,,585571.92,
5107,,2423995.63,14435.4
2942,,24833.31,0.0
5064,,40562.99,0.0
2487,,2760052.0,0.0
2970,,2987859.48,0.0
2516,,4692754.0,0.0
5102,,5569206.78,134573.0
3226,,1929990.02,
5189,,10485728.34,13715937.78
5034,,2493847.84,0.0
2760,,,0.0
2875,,904314.17,0.0
2873,,1274396.82,0.0
5537,,30441.02,0.0
2775,,,0.0
2330,,717000.55,
1704,,592556.62,31532.0
2762,,2175243.15,0.0
2582,,176293.0,0.0
2780,,,0.0
2781,,,0.0
2782,,,0.0
5100,,5975698.54,238444.48
5061,,9760200.98,0.0
2357,,880498.85,
2927,,1129647.45,0.0
2398,,739292.95,
2325,,185207.38,
2790,,,0.0
2791,,,0.0
5120,,1249825.6,0.0
2793,,,0.0
5330,,26195.27,0.0
2374,,1186851.58,
5410,,5834.27,0.0
4003,,9389606.38,1231142.0
1417,,1509686.69,218629.0
3141,,3479570.5,
1871,,18885702.86,1746827.0
4264,,81093524.93,8431940.69
1965,,5614462.32,1210847.0
4375,,7302114.67,229105.89
1982,,20249390.34,574042.0
5128,,14318214.62,0.0
1311,,36909135.59,5289650.0
1528,,3303885.65,253348.0
2831,,,0.0
1508,,2411749.43,152917.0
1241,,,302741.0
2840,,,0.0
1424,,1428869.09,218396.0
1787,,3673097.45,555038.0
1266,,7265330.4,3634575.0
1579,,82381461.35,2183102.0
1256,,,645473.0
4074,,1297026.84,230763.0
1387,,3692932.67,659897.0
1325,,1354522.51,98973.0
2856,,,0.0
2860,,,0.0
2861,,,0.0
2862,,,0.0
2863,,,0.0
2864,,,0.0
2865,,,0.0
1618,,1415493.42,155550.0
2531,,13409.78,0.0
4197,,6005686.07,277283.52
4113,,11108020.79,857916.0
2466,,1488494.88,0.0
5071,,9986747.15,0.0
2878,,,0.0
2700,,710751.98,0.0
3559,,6291372.98,
2257,,71617.0,
5498,,,0.0
2833,,3866805.34,0.0
5232,,4390258.61,0.0
2744,,729435.27,0.0
5484,,814214.45,0.0
2900,,,0.0
1452,,4409312.27,732504.0
4328,,2962549.72,232980.47
2431,,11114.8,
2406,,766588.42,
5210,,156543.99,0.0
2995,,592294.84,0.0
4123,,239920.61,0.0
2401,,343461.6,
2966,,1392551.94,0.0
2528,,6772439.0,0.0
2884,,2389717.33,0.0
2576,,141511.94,0.0
4688,,303475.35,11240.75
2945,,132741.52,0.0
3228,,940482.93,
2361,,350001.76,
2750,,16699.86,0.0
2294,,0.0,
2993,,9912.6,0.0
2899,,20995.06,0.0
2410,,1276717.16,
2769,,11390.36,0.0
2316,,21098.16,
2636,,2406368.89,0.0
2846,,585290.52,0.0
2672,,239091.04,0.0
1296,,41182922.07,4413443.0
4161,,1802953.09,251861.0
3140,,51218204.06,
1332,,10905227.4,3154896.0
1414,,8191992.39,2027706.0
1625,,11286153.18,632542.0
1813,,49802008.6,5612828.0
2354,,1546000.26,
1927,,2515039.14,223662.0
4334,,5349464.31,1270811.62
5032,,5126349.47,0.0
1515,,12621672.3,633024.0
1977,,2702114.08,669375.0
1481,,11748193.16,423256.0
2766,,10360215.7,0.0
3001,,,
3002,,,
3003,,,
3004,,,
3005,,,
3006,,,
3007,,,
3008,,,
3009,,,
3010,,,
3011,,,
3012,,,
3013,,,
3014,,,
3015,,,
3016,,,
3017,,,
3018,,,
3019,,,
3020,,,
3021,,,
3022,,,
3023,,,
3024,,,
3025,,,
3026,,,
3027,,,
3028,,,
3029,,,
3030,,,
3031,,,
3032,,,
3033,,,
3034,,,
3035,,,
3036,,,
3037,,,
3038,,,
3039,,,
3040,,,
3041,,,
3042,,,
3043,,,
3044,,,
3045,,,
3046,,,
3047,,,
3048,,,
3049,,,
3050,,,
3051,,,
3052,,,
3053,,,
3054,,,
3055,,,
3056,,,
3057,,,
3058,,,
3059,,,
3060,,,
3061,,,
3062,,,
3063,,,
3064,,,
3065,,,
5449,,,430647.23
3067,,,
3068,,,
3069,,,
3070,,,
3071,,,
3072,,,
3073,,,
3074,,,
3075,,,
3076,,,
3077,,,
3150,,547528.1,
3079,,,
4298,,9837358.31,1447192.8
3081,,,
3082,,,
3083,,,
3084,,,
3085,,,
3086,,,
3087,,,
3088,,,
3089,,,
3090,,,
3091,,,
3092,,,
3093,,,
3098,,,
3326,,781030.88,
4055,,15087219.2,3032978.0
3119,,,
3121,,,
3122,,,
4716,,1544004.64,0.0
3124,,,
3125,,,
3128,,,
3129,,,
3130,,,
4070,,8796860.02,670441.0
1852,,2915456.44,229235.0
3145,,,
3146,,,
3147,,,
1420,,5581544.94,1122434.0
3149,,,
1535,,10223840.2,771366.0
3151,,,
3152,,,
1380,,9040908.02,14135775.0
3335,,5191261.4,
4112,,1320792.96,140026.0
3158,,,
3159,,,
4190,,2352906.01,268862.0
4169,,6364572.95,872345.55
1287,,3704291.45,3182052.0
1307,,1010652.61,111961.0
3168,,,
5544,,,0.0
3217,,34877040.15,
5251,,665090.01,0.0
1611,,1046674.03,68814.0
5434,,1027110.45,1428146.3
5153,,820738.65,0.0
2463,,540451.0,
4095,,2113605.92,158765.0
1389,,708827.27,255255.0
2345,,2539053.48,
2327,,871692.4,
2684,,162574.07,0.0
2424,,258389.44,
5018,,285252.85,0.0
2976,,2929255.77,0.0
2937,,807344.61,0.0
2832,,889842.57,0.0
2329,,422314.25,
5204,,9219383.36,0.0
5099,,7905132.26,347360.0
3212,,,
3213,,,
3214,,,
3342,,28257.8,
5259,,4305827.58,0.0
5211,,1335350.27,0.0
2912,,164326.83,0.0
4312,,269934.77,1650.0
2563,,76008.85,0.0
5444,,5211696.92,0.0
2811,,96586.9,0.0
2999,,619731.97,0.0
5450,,8512204.78,0.0
5183,,2393401.79,487954.24
2837,,321803.65,0.0
2373,,2722101.81,
2578,,93267.74,0.0
3304,,544794.58,
2647,,2718247.83,0.0
2368,,1121445.74,
2304,,587627.7,
2687,,4883323.68,0.0
2796,,635400.05,0.0
2558,,187479.36,0.0
2350,,81878.55,
2697,,80752.71,0.0
5311,,898824.68,0.0
5065,,152495.99,0.0
5191,,431868.84,0.0
3203,,6273609.34,
1688,,65377279.14,8187875.0
3260,,,
1713,,2939821.65,345661.0
1282,,10955690.74,2636499.0
3218,,9466263.25,
3268,,,
1313,,8726361.63,1311471.0
1277,,8534710.43,2449736.0
2456,,15963332.0,
3279,,,
3280,,,
3281,,,
3282,,,
5587,,,0.0
3284,,,
4173,,9571816.89,1162948.14
3289,,,
3295,,,
3296,,,
3297,,,
3298,,,
1880,,84281914.59,21711154.0
3301,,,
3302,,,
3303,,,
1827,,18571978.65,1671236.0
3307,,,
3308,,,
1886,,874502.99,186548.0
3310,,,
3311,,,
3312,,,
3313,,,
1868,,19988438.27,4996596.0
3316,,,
3317,,,
3318,,,
3319,,,
3200,,12467305.96,
3321,,,
5295,,63051706.37,0.0
3323,,,
3324,,,
3325,,,
3173,,16025623.46,
3327,,,
1540,,6365836.25,533754.0
1456,,6239034.16,72631.0
3331,,,
3332,,,
3334,,,
5127,,5905956.47,0.0
3337,,,
3338,,,
3339,,,
4127,,2774452.64,265599.27
4208,,2643562.21,407016.03
3343,,,
3344,,,
3345,,,
3346,,,
3347,,,
3348,,,
3349,,,
3350,,,
3351,,,
3352,,,
3353,,,
3354,,,
3355,,,
3356,,,
3357,,,
3359,,,
3361,,,
3364,,,
3365,,,
4133,,173358.39,21114.86
3367,,,
3368,,,
3369,,,
3370,,,
3371,,,
3372,,,
3373,,,
3374,,,
3375,,,
4186,,11078851.36,1512985.0
3377,,,
3378,,,
3379,,,
3380,,,
3381,,,
3383,,,
4351,,10235172.68,597107.94
3385,,,
3386,,,
3387,,,
3388,,,
3390,,,
3391,,,
1951,,1555019.55,148960.0
3393,,,
3394,,,
2685,,19179060.64,0.0
3396,,,
3397,,,
3398,,,
3399,,,
3400,,,
3402,,,
3407,,,
3408,,,
3409,,,
3410,,,
3411,,,
3412,,,
3248,,988951.24,
3414,,,
3415,,,
3416,,,
3417,,,
3418,,,
3419,,,
3420,,,
3421,,,
3422,,,
3423,,,
3424,,,
3425,,,
3426,,,
3427,,,
2646,,2537766.32,0.0
3429,,,
3430,,,
3431,,,
3432,,,
3433,,,
3434,,,
2958,,12571783.43,0.0
3436,,,
3437,,,
3438,,,
3439,,,
3440,,,
2788,,2416515.89,0.0
2453,,766295.66,
1778,,1086864.23,53071.0
3444,,,
3445,,,
3446,,,
3447,,,
3448,,,
3449,,,
3450,,,
3451,,,
3452,,,
3453,,,
3454,,,
3455,,,
3456,,,
3457,,,
3458,,,
2360,,695210.91,
3460,,,
3461,,,
3462,,,
3463,,,
3464,,,
3465,,,
3466,,,
3467,,,
3468,,,
3469,,,
3470,,,
3471,,,
3472,,,
3473,,,
3474,,,
3475,,,
3476,,,
3477,,,
3478,,,
3479,,,
3480,,,
3481,,,
3482,,,
3483,,,
2851,,1406149.26,0.0
3485,,,
5404,,1097960.02,33200.0
3487,,,
2525,,13799889.68,0.0
5290,,2380887.68,0.0
3491,,,
3492,,,
3493,,,
3494,,,
5060,,2498698.87,0.0
5601,,,0.0
5606,,,0.0
3499,,,
3500,,,
3501,,,
3502,,,
3220,,3810182.41,
2707,,1137113.61,0.0
5043,,174850.88,0.0
2988,,1997340.79,0.0
3508,,,
3509,,,
3510,,,
3511,,,
3512,,,
3513,,,
3514,,,
5309,,1314787.49,0.0
3516,,,
3517,,,
2275,,60072.88,
3519,,,
3520,,,
3522,,,
2559,,139843.79,0.0
3524,,,
3525,,,
5497,,,0.0
5000,,490873.82,0.0
2416,,6435257.27,
2749,,5698.56,0.0
3531,,,
3532,,,
3534,,,
3535,,,
3536,,,
3537,,,
3538,,,
3541,,,
3542,,,
2879,,40471.62,0.0
3546,,,
3547,,,
5174,,72527.19,0.0
3549,,,
2904,,24495.08,0.0
2509,,0.0,0.0
3552,,,
5173,,75847.49,0.0
3554,,,
3555,,,
3556,,,
2977,,43502.24,0.0
3558,,,
3320,,16250.69,
2753,,147786.26,0.0
1289,,785818.09,305977.0
3563,,,
3565,,,
3566,,,
3567,,,
3568,,,
1345,,288481152.48,76656943.0
3570,,,
3571,,,
3572,,,
3573,,,
3575,,,
3576,,,
1675,,240543859.57,32870167.0
3578,,,
3579,,,
3580,,,
1934,,17450052.93,1579035.0
1376,,23460073.66,3517976.0
3583,,,
3584,,,
1622,,8177519.39,643609.0
1310,,4680340.29,250405.0
3587,,,
3588,,,
3590,,,
3591,,,
3592,,,
1896,,9201061.54,208855.0
1825,,26341587.62,5132047.0
3243,,1247816.81,
4368,,30198383.77,1970744.5
1966,,8143719.94,1681284.0
1663,,9169973.3,1257854.0
1881,,2944843.15,255138.0
4255,,25473437.32,2143138.5
4043,,946367.37,116340.75
4219,,7415157.76,1237705.28
5525,,,0.0
4188,,19903187.12,3313031.92
5526,,,0.0
5067,,8062198.55,0.0
1537,,3480615.66,215809.0
2701,,269310.94,0.0
1968,,37703713.52,4257267.97
2772,,2703561.16,0.0
1449,,2603436.29,0.0
2850,,4327774.39,0.0
3174,,416827.64,
5090,,5910094.63,35216.25
1592,,1906286.59,82281.0
3376,,6999940.03,
5250,,17993983.31,0.0
2763,,1922531.45,0.0
2965,,3000795.51,0.0
5094,,930657.61,33602.22
5258,,806419.18,0.0
2854,,579945.39,0.0
2546,,892685.29,0.0
2543,,3033966.29,0.0
2877,,951915.12,0.0
1950,,574530.98,74844.0
2335,,428499.97,
2853,,130014.08,0.0
2885,,8824311.63,0.0
5016,,3135.26,0.0
2667,,1154485.44,0.0
2643,,135566.78,0.0
5247,,1897908.28,0.0
2898,,55897.82,0.0
2777,,406862.16,0.0
2897,,75184.0,0.0
2414,,561239.87,
2930,,212620.81,0.0
2459,,116022.56,
2666,,177499.59,0.0
2682,,89839.23,0.0
5425,,464403.62,518657.96
5243,,1320318.18,0.0
5125,,2004706.26,0.0
5171,,1082212.23,0.0
2482,,34326.0,0.0
5154,,3644.11,446662.49
5435,,4072541.39,0.0
1742,,1334506.76,111712.0
3169,,88203232.21,
1324,,10907868.92,1613748.0
1575,,18589306.34,222817.0
4077,,16595662.54,3299351.0
1946,,17541820.75,288278.0
1293,,19890308.77,4034816.0
2411,,0.0,
4124,,6593153.21,1227697.03
1993,,35684182.87,4693006.0
1849,,11534817.8,1455392.0
1823,,9203600.91,964338.0
3285,,8596849.56,
1681,,21894005.83,2866338.0
1655,,7144503.13,307609.0
2288,,926850.15,
4011,,7738769.52,1463518.0
4027,,8341293.11,912225.58
4120,,1914682.79,274639.01
4163,,6342340.95,394978.7
5560,,,0.0
3314,,455369.3,
1759,,7826995.83,811968.0
1890,,7638439.83,0.0
4053,,2564683.72,441205.0
1451,,3939783.19,560847.0
4661,,1110110.81,69039.77
3362,,6195205.8,
3607,,,
4259,,21181388.94,2849273.26
4121,,4849947.62,282365.08
1850,,15612814.36,794466.0
4412,,18890910.27,3118893.13
3137,,9019537.72,
1352,,1085125.11,192419.0
1944,,4019463.94,648546.0
5201,,7674180.59,0.0
1923,,3004023.04,64912.0
1938,,3144150.1,135660.0
1368,,5964308.99,521140.0
2820,,1551762.26,0.0
3224,,13199692.01,
4373,,5306654.47,692559.87
5137,,111716016.91,0.0
1657,,985181.75,73741.0
2488,,2548113.66,0.0
2797,,319501.9,0.0
5076,,1960049.13,0.0
2931,,1180318.09,0.0
5543,,,249334.75
5461,,,1918664.58
3222,,2387886.66,
2293,,80472.1,
5248,,15047522.76,0.0
5106,,1070536.08,46716.62
2829,,1878332.73,0.0
2532,,137058.0,0.0
5454,,173823.56,0.0
2485,,358381.26,0.0
5310,,500999.3,2547773.28
5068,,1134200.15,0.0
5146,,56849949.26,0.0
5323,,12080.71,0.0
5396,,29773672.15,0.0
2393,,122495.25,
3206,,3998836.12,
2594,,66656.63,0.0
1676,,106468427.8,16724761.0
1488,,966610.05,71661.0
1425,,27960004.15,10058379.0
1646,,35359079.9,1394670.0
1299,,20544924.45,6074584.0
1308,,920741.26,136145.0
4144,,17467954.13,3828574.0
4153,,8328562.26,428209.48
4154,,4389175.57,540895.0
3596,,,
4323,,5306863.74,563589.34
5320,,11409.03,5457566.47
1878,,6577021.37,54775.0
1960,,48259660.62,4512689.89
3136,,4673921.01,
1398,,5456042.93,804721.0
3189,,4948995.65,
1429,,3547202.78,513181.0
4062,,3095013.91,95524.0
1963,,7610816.89,1296030.03
3176,,8932169.87,
3283,,5046066.37,
4018,,4132709.44,832243.0
4292,,25541185.85,3141703.03
3207,,3611491.49,
3330,,5366361.92,
2262,,298379.9,
1862,,7711083.63,1071884.0
5565,,,0.0
5566,,,0.0
3156,,2440546.55,
4139,,5898074.88,321104.36
2720,,481672.45,0.0
2889,,1352883.8,0.0
3293,,957955.64,
2728,,3705037.74,0.0
1395,,1146338.86,244547.0
5395,,,3094875.24
5473,,,114957.17
2544,,5709197.0,0.0
3172,,411357.84,
5081,,17367834.02,0.0
2439,,225777.71,
3545,,80246.7,
2475,,207150.21,0.0
1716,,1665070.31,149208.0
5157,,3901102.19,0.0
5160,,324252.9,0.0
2759,,24274.61,0.0
2565,,428064.13,0.0
5535,,74828.22,0.0
5208,,1384204.87,0.0
5385,,572925.79,1922217.15
2572,,1061643.32,0.0
3620,,,
5441,,390871.07,0.0
5397,,7307.41,0.0
2389,,532317.35,
2362,,828614.56,
2420,,302379.36,
2743,,324663.6,0.0
2515,,0.0,0.0
4109,,57648989.57,3635560.48
1404,,5913137.1,338652.0
1571,,12384097.04,464357.0
1590,,1688473.78,0.0
3241,,5726164.08,
1393,,22990447.07,1575675.0
2490,,30550993.65,0.0
1701,,8293666.78,439600.0
1303,,5462529.93,1061424.0
1394,,1414196.5,136586.0
1874,,22887905.74,4308099.0
4034,,19868844.47,2697385.0
4242,,6172025.65,914999.83
3623,,,
4064,,2918163.16,387910.63
3270,,8606436.54,
1344,,18565928.96,1922332.0
1660,,10997536.94,1123094.0
1949,,837036.96,156373.0
4090,,6615076.59,291325.36
4079,,25632263.08,7634682.84
1323,,3773011.29,556864.0
1654,,534107.74,53347.0
2517,,4362222.0,0.0
3157,,4999310.11,
4108,,3114956.97,249129.51
2408,,958864.51,
3182,,2002983.94,
4304,,12565373.45,1331667.15
5453,,31780017.55,0.0
2562,,538289.4,0.0
1901,,26651652.74,2836942.0
3272,,2140920.65,
2508,,1499272.0,0.0
5175,,159026.03,0.0
5401,,51971.89,0.0
4205,,2985308.16,15295.0
2674,,80510.28,0.0
1330,,1779885.95,232618.0
2679,,20431.52,0.0
2964,,5759781.29,0.0
5420,,195103.58,2241932.45
2437,,282120.02,
5121,,103478.1,0.0
5197,,1495224.55,0.0
5274,,1518091.71,0.0
2824,,17722218.96,0.0
2569,,14231.1,0.0
5324,,365586.28,2513023.6
2443,,393221.39,
2918,,4300099.08,0.0
5111,,3149241.65,21592.0
3245,,393813.27,
2445,,2424854.78,
2990,,983739.9,0.0
2537,,47179.51,0.0
2908,,80761.88,0.0
5398,,3783.95,0.0
2520,,102738.56,0.0
2764,,78506.85,0.0
2265,,71328.85,
2911,,67568.51,0.0
5313,,666292.63,0.0
1898,,44167865.22,4954255.0
3138,,3132714.82,
3164,,3404108.7,
1411,,6678555.87,1225737.0
1319,,5134082.94,1289906.0
1543,,2426201.13,120370.0
3210,,1296770.22,
1924,,49926354.5,1234417.0
4386,,15302173.31,3840452.46
4128,,10126940.11,960269.0
4110,,67034034.89,3549313.95
1915,,21498619.82,2780704.0
4322,,28335249.54,511159.15
5192,,61870100.96,0.0
1988,,3925597.14,476492.68
1873,,13737974.24,412057.48
4324,,4539992.99,591792.36
5596,,,0.0
4320,,31960035.12,2107211.42
4069,,41354847.24,5718652.0
1877,,5996437.44,1505411.0
3261,,6273272.45,
3166,,3433251.55,
1826,,11999525.1,164087.0
2464,,3643501.26,
2588,,49093.06,0.0
3286,,7122145.99,
5561,,,0.0
5590,,,0.0
1430,,734518.39,105972.0
3521,,2565254.14,
1516,,7053105.35,409670.0
1305,,594693.82,11345.0
4047,,13324210.65,482423.45
5129,,1377758.82,0.0
4066,,1017761.39,78963.67
2921,,2613039.26,0.0
3154,,4385737.74,
1811,,5825275.23,1134370.0
2823,,640027.58,0.0
4265,,1602711.5,11491.39
5233,,155164.75,1313220.1
4088,,1653796.77,246920.0
5307,,674711.55,0.0
3305,,397944.96,
2827,,225175.41,0.0
2483,,646082.95,0.0
5056,,2758839.89,0.0
2542,,5991231.46,0.0
1630,,1106062.86,138344.0
2549,,6063448.95,0.0
2522,,238140.0,0.0
5275,,722953.45,0.0
5562,,,0.0
1268,,721979.29,120352.0
3523,,275575.36,
5263,,19206.68,300576.5
2382,,76944.59,
2876,,112240.74,0.0
2816,,1285560.55,0.0
2882,,151670.08,0.0
2800,,174155.26,0.0
2349,,1000625.76,
3244,,212992.2,
3598,,21090.56,
5083,,1125000.01,0.0
2323,,925982.68,
3181,,36139478.42,
1591,,6969403.65,456544.0
1941,,25078569.96,996035.0
3233,,5307714.12,
1334,,39700101.17,9520801.0
2888,,8630995.0,0.0
1872,,9308284.68,1418762.0
1776,,55300511.2,5908173.0
1328,,2551571.28,888289.0
4106,,31099393.08,2980809.33
3153,,3101637.94,
1865,,3950737.77,504725.0
1866,,4228940.04,1485616.0
4206,,924687.91,143035.25
3271,,1322697.68,
1739,,2895288.73,33064.0
1504,,1225379.55,57338.0
5536,,12920.87,0.0
5513,,,0.0
1914,,1862942.69,418576.0
1435,,6487026.47,4023296.0
1529,,21025562.11,895918.0
1596,,677994.86,4671.0
1601,,2865304.42,200225.0
2789,,4417991.95,0.0
5439,,3628684.84,0.0
2946,,43282.66,0.0
3395,,446808.86,
5517,,,0.0
5005,,6669639.04,0.0
5294,,110836.8,0.0
2689,,13792363.24,0.0
2514,,519746.3,0.0
2806,,641093.78,0.0
5318,,510435.38,0.0
3255,,1110009.95,
2981,,156228.72,0.0
2550,,108563.59,0.0
2926,,283927.65,0.0
2939,,204671.41,0.0
2384,,574906.82,
5269,,66098.71,0.0
2974,,467902.26,0.0
5570,,,0.0
5170,,1727559.21,3054442.91
2804,,182593.13,0.0
2348,,93972.96,
2390,,394778.25,
3186,,5419372.81,
1567,,1685028.81,113870.0
1911,,26687516.62,2477129.75
1257,,33279674.22,18906913.0
1356,,39711803.79,4438038.0
3134,,25469687.41,
1683,,5095726.19,893692.0
1331,,3700015.29,449273.0
4050,,4721628.31,227656.0
1361,,66734226.22,18838111.0
1928,,3008481.95,2454493.0
1608,,16887658.78,341998.0
1269,,1737569.4,1037030.0
3336,,916843.53,
2434,,759649.98,
2534,,3240462.0,0.0
2723,,0.0,0.0
2422,,187811.25,
4111,,24295599.44,394787.81
2756,,0.0,0.0
2403,,314629.34,
2940,,95356.14,0.0
4422,,540891.07,0.0
5399,,96781.06,0.0
2495,,485259.54,0.0
5486,,3557101.83,0.0
2699,,3501238.04,0.0
2906,,789533.19,0.0
2400,,522973.11,
5049,,457025.18,0.0
2427,,257930.57,
2874,,22073.78,0.0
5549,,,0.0
5550,,,0.0
5053,,,0.0
5551,,,0.0
2919,,3908122.74,0.0
2996,,622320.74,0.0
2386,,1815259.18,
2994,,373970.07,0.0
5155,,1143555.26,316730.66
5245,,2682305.5,0.0
5364,,62426.25,0.0
2308,,1090377.3,
5315,,65178.81,0.0
2452,,3581722.73,
2581,,437362.93,0.0
2717,,231202.76,0.0
5354,,68404.73,0.0
2409,,209475.0,
2649,,22897.85,0.0
2287,,55893.18,
5193,,202450.63,0.0
5358,,69247.64,0.0
5316,,156297.96,860715.38
1902,,3112391.72,23471.0
5585,,,0.0
3267,,11028992.49,
1600,,3444836.86,178200.0
1281,,4736115.0,704930.0
3266,,9911219.22,
1343,,3340810.2,346748.0
3160,,9209100.46,
4004,,6433605.15,1105267.0
4046,,88561262.67,10313835.25
4207,,3949092.78,415567.57
1867,,12182946.13,2708545.0
1861,,15305769.72,1217406.0
5419,,4634597.1,743457.99
1574,,8779277.11,797224.0
1409,,4284113.3,849287.0
1383,,6689724.02,1800672.0
5115,,,8689.8
5118,,,0.0
5119,,,0.0
5123,,,0.0
1271,,1868757.98,495343.0
4103,,4212154.14,386084.0
1779,,12058395.64,1281647.0
3288,,8915740.63,
1964,,5611823.23,1211616.0
5186,,5335398.46,0.0
2317,,13633895.1,
5262,,21531039.35,0.0
5167,,,0.0
2932,,308817.5,0.0
2729,,3269576.83,0.0
5223,,31437.89,0.0
4164,,3976954.92,450107.2
1594,,1707563.39,181466.0
1317,,3394920.15,438084.0
5209,,12068.12,0.0
5176,,175234.98,0.0
1784,,449482.54,52815.0
2388,,267732.58,
5062,,17351586.34,0.0
5214,,,0.0
5215,,,0.0
5216,,,0.0
5217,,,0.0
5218,,,0.0
5219,,,0.0
5220,,,0.0
5221,,,0.0
5222,,,0.0
5224,,,0.0
5240,,,0.0
4136,,28828351.7,2157637.6
5327,,3896583.31,7854810.97
3287,,246230084.13,
2496,,362624.55,0.0
5228,,9188549.35,0.0
1353,,817522.69,104509.0
3300,,9540583.88,
4233,,3078434.15,472182.0
4151,,4347340.77,387721.52
5036,,563414.74,0.0
2346,,254258.94,
4178,,1824522.67,217506.63
4302,,3345510.33,0.0
3251,,1565130.68,
5277,,,0.0
5279,,,0.0
5280,,,0.0
5271,,30025.07,0.0
2292,,132351.32,
3443,,957787.02,
2266,,406510.13,
5164,,2388962.04,0.0
4690,,264581.77,0.0
5409,,2806287.14,0.0
3155,,4668512.48,
5047,,2540783.4,0.0
2320,,5514048.11,
5365,,227319.53,0.0
5305,,,0.0
5306,,,0.0
2783,,1816465.98,0.0
2991,,169360.98,0.0
2872,,4527.53,0.0
5035,,10455.91,0.0
5108,,1947217.55,30584.95
2338,,1371792.07,
2784,,2020851.57,0.0
2342,,109241.75,
2640,,65775.53,0.0
1645,,7378304.78,373069.0
5319,,,0.0
3184,,33681870.19,
5322,,,0.0
1818,,255208480.28,44962054.56
3230,,4425301.59,
4155,,43148257.98,5836557.0
5326,,,0.0
5328,,,0.0
5329,,,0.0
1876,,18085951.67,3177806.11
5331,,,0.0
5332,,,0.0
5333,,,0.0
1883,,118162678.93,11516711.19
1921,,13066488.27,2374487.0
5336,,,0.0
5338,,,0.0
5339,,,0.0
5340,,,0.0
5346,,,0.0
5348,,,0.0
5349,,,0.0
5350,,,0.0
1585,,77765373.82,3238180.0
5355,,,0.0
5356,,,0.0
5357,,,0.0
5361,,,0.0
5362,,,0.0
5363,,,0.0
5366,,,0.0
5368,,,0.0
3593,,,
5371,,,0.0
5372,,,0.0
5373,,,0.0
5374,,,0.0
2953,,9616.73,0.0
5376,,,0.0
5377,,,0.0
4118,,7097551.4,734810.0
3594,,,
4450,,4871677.62,0.0
4401,,33230394.25,5004709.99
3299,,11498194.84,
5387,,,0.0
5390,,,0.0
1844,,5301081.25,793594.0
1954,,52013289.04,7365952.14
5131,,4247960.9,0.0
1845,,9045503.16,1374399.0
5400,,,0.0
3165,,21065441.93,
5402,,,0.0
5403,,,0.0
5405,,,0.0
5406,,,0.0
2258,,1513182.3,
4107,,7915043.74,676141.75
5411,,,0.0
5412,,,0.0
5413,,,0.0
5414,,,0.0
5415,,,0.0
1710,,12737075.85,1857348.0
2925,,125530.94,0.0
2947,,411278.9,0.0
5424,,,0.0
5431,,,0.0
5432,,,0.0
5433,,,0.0
1869,,17438357.78,309213.0
4100,,8293401.3,1410234.0
5437,,,0.0
5438,,,0.0
3631,,,
5612,,,0.0
5599,,,0.0
5552,,,0.0
5553,,,0.0
5447,,,1155477.99
3632,,,
5524,,,582457.59
5567,,,0.0
5568,,,0.0
5569,,,0.0
1789,,7955261.42,1264949.02
1399,,2343447.82,484316.0
1373,,2982075.51,415221.0
3277,,15338277.73,
2922,,96413.96,0.0
2256,,472703.0,
2590,,54544.44,0.0
5134,,850539.46,0.0
1816,,1337879.37,93590.0
5045,,875256.85,0.0
3557,,187850.76,
5077,,3340243.4,0.0
2586,,3351326.34,0.0
2306,,646465.83,
2481,,71060.87,0.0
1385,,970883.22,136965.0
5019,,1158109.53,0.0
3264,,594853.93,
3562,,10578.04,
5422,,551624.05,0.0
2892,,2256591.3,0.0
5163,,577945.32,806554.35
5241,,589823.85,694896.49
2826,,1781984.76,0.0
2755,,14978.67,0.0
2642,,36241.71,0.0
5519,,109417.84,0.0
2526,,268179.98,0.0
1338,,297203.25,45256.0
5321,,670174.52,0.0
5021,,2950234.62,0.0
2385,,880634.65,
5304,,,1137220.61
2387,,1196608.92,
2648,,898981.85,0.0
2805,,18494.98,0.0
5273,,27757.8,0.0
2499,,13227.39,0.0
5370,,51399.0,0.0
3258,,9887.4,
1602,,188845255.19,10236074.0
1774,,4716310.17,541355.0
4037,,2036745.61,237236.0
1427,,2193357.34,1810224.0
1294,,10347269.34,4277685.0
3290,,27385680.76,
4125,,1215685.33,178449.0
2923,,987749.43,0.0
1431,,1143690.22,157886.0
3180,,20980672.39,
1348,,4128414.91,1154842.0
3291,,356530.38,
2461,,2124158.0,
1777,,14547910.96,1175154.0
1723,,1295072.88,61821.0
3188,,1480656.94,
3205,,1498692.53,
